verbatimScientificName,kingdom,phylum,class,nameUk,BernAppendix2,BernAppendix3,Bonn,AEWA,BernResolution6,HabitatsDirectiveAnnex_V,HabitatsDirectiveAnnex_IV,HabitatsDirectiveAnnex_II,BirdsDirectiveAnnex_IІ,BirdsDirectiveAnnex_I,ЧКУ,IUCN,BernAppendix1,EUROBATS,ACCOBAMS,Invasive,ЧС_Полтавська,ЧС_Чернівецька,ЧС_Житомирська,ЧС_Вінницька,ЧС_Харківська,ЧС_Чернігівська,ЧС_Черкаська,ЧС_Івано_Франківська,ЧС_Рівненська,ЧС_Одеська,ЧС_Сумська,ЧС_Закарпатська,ЧС_Львівська,ЧС_Миколаївська,ЧС_Донецька,ЧС_Херсонська,ЧС_Севастополь,ЧС_Тернопільська,ЧС_Київ,ЧС_Волинська,ЧС_Хмельницька,ЧС_Запорізька,ЧС_Кіровоградська,ЧС_Луганська,ЧС_Київська,ЧС_Дніпропетровська
"Emys orbicularis (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Черепаха болотяна,yes,,,,yes,,yes,yes,,,,,,,,,,yes,yes,,yes,,,,,,yes,,yes,yes,yes,,,,yes,yes,yes,,,,,yes
"Trachemys scripta (Thunberg In Schoepff, 1792)",Animalia,Chordata,Reptilia,Черепаха червоновуха,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natrix tessellata (Laurenti, 1768)",Animalia,Chordata,Reptilia,Вуж водяний,yes,,,,,,yes,,,,,,,,,,yes,,yes,,yes,,,,,,,,,,,,,,,,yes,,yes,,,
"Natrix natrix (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Вуж звичайний,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
"Natrix natrix subsp. persa (Pallas, 1814)",Animalia,Chordata,Reptilia,Вуж персидський,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
"Elaphe dione (Pallas, 1773)",Animalia,Chordata,Reptilia,Полоз візерунковий,,yes,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
"Elaphe sauromates (Pallas, 1811)",Animalia,Chordata,Reptilia,Полоз сарматський,yes,,,,yes,,yes,yes,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
"Dolichophis caspius (Gmelin, 1789)",Animalia,Chordata,Reptilia,Полоз каспійський,yes,,,,,,yes,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
"Zamenis longissimus (Laurenti, 1768)",Animalia,Chordata,Reptilia,Ескулапів полоз,yes,,,,,,yes,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
"Zamenis situla (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Леопардовий полоз,yes,,,,yes,,yes,yes,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coronella austriaca Laurenti, 1768",Animalia,Chordata,Reptilia,Мідянка звичайна,yes,,,,,,yes,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
"Vipera berus (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Гадюка звичайна,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,yes
"Vipera renardi (Christoph, 1861)",Animalia,Chordata,Reptilia,Гадюка степова,yes,,,,yes,,yes,yes,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
"Anguis fragilis Linnaeus, 1758",Animalia,Chordata,Reptilia,Веретільниця ламка,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anguis colchica (Nordmann, 1840)",Animalia,Chordata,Reptilia,Веретільниця колхідська,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,yes,,,,,,yes,,yes,,,
"Pseudopus apodus (Pallas, 1775)",Animalia,Chordata,Reptilia,Жовтопуз безногий,yes,,,,,,yes,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zootoca vivipara (Lichtenstein, 1823)",Animalia,Chordata,Reptilia,Ящірка живородна,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes
"Lacerta agilis Linnaeus, 1758",Animalia,Chordata,Reptilia,Ящірка прудка,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
"Lacerta viridis (Laurenti, 1768)",Animalia,Chordata,Reptilia,Ящірка зелена,yes,,,,,,yes,,,,вразливий,,,,,,yes,yes,,,,,,,,yes,,,,,,,,,yes,,,,,,,yes
"Podarcis muralis (Laurenti, 1768)",Animalia,Chordata,Reptilia,Ящірка стінна,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
