"","ID","verbatimScientificName"
"1",149,"Euidosomus acuminatus (Boheman, 1840)"
"2",208,"Lymnaea clavata Westerlund, 1885"
"3",209,"Lymnaea pachyta Westerlund, 1890"
"4",250,"Trochulus bielzi (Bielz, 1860)"
"5",283,"Batavusiana irenjensis (Kobelt, 1912)"
"6",285,"Paraelona majewsky (Frauenfeld, 1862)"
"7",288,"Neopisidium moitesserianum (Paladilhe, 1866)"
"8",289,"Galactella lactea (Linnaeus, 1758)"
"9",290,"Hypanis laeviuscula (Eichwald, 1829)"
"10",293,"Pisidium pulchellum (Jenyns, 1832)"
"11",355,"Potamon tauricum Czernyavsky,1884"
"12",379,"Syrioiulus kovali (Golovatch, 2008)"
"13",395,"Calopteryx taurica (Selys, 1853)"
"14",466,"Chrysochares asiaticus (Pallas, 1771)"
"15",470,"Polyommatus anteros Freyer, 1839"
"16",472,"Chelis maculosa mannerheimi (Duponchel, 1836)"
"17",489,"Evylaeus corvinus (Morawitz, 1876)"
"18",606,"Agabus kessleri Hochhuth, 1871"
"19",687,"Ropalopus hungaricus (Fabricius, 1775)"
"20",703,"Alaus parreyssi (Steven, 1830)"
"21",792,"Glaphyrus vulpes (Fabricius, 1781)"
"22",968,"Gonospileia triquetra (Denis & Schiffermuller, 1775)"
"23",1092,"Neopristilophus depressus (Coermar, 1822)"
"24",1093,"Cecchiniola platyscelidina (Jacobson, 1908)"
"25",1133,"Polyommatus dorylas (Denis & Schiffermuller, 1775)"
"26",1163,"Eudia spini (Denis & Schiffermuller, 1775)"
"27",1228,"Xiphydria markewitshi Ermolenko, 1960"
"28",1268,"Campsoscolia klugii (Vander Linden, 1827)"
"29",1299,"Seladonia semitecta (Morawitz, 1873)"
"30",1300,"Evylaeus laevis (Kirby, 1802)"
"31",1301,"Evylaeus quadrisignatus (Schenck, 1853)"
"32",1372,"Macropis wancowiczi"
"33",2044,"Spermophilus odessanus Nordmann, 1840"
"34",2059,"Sicista cimlanica (Kovalskaya et al., 2000)"
"35",2067,"Nothocricetulus migratorius (Pallas, 1773)"
"36",2410,"Cladophora sivashensis C.Meyer"
"37",2492,"Galium dubovikiae Ostapko"
"38",2928,"Astragalus excapus L."
"39",3161,"Dasyopsis apiculata (C. Agardh) Zinova"
"40",3296,"Phlomoides scythica (Klokov & Des.-Shost.) Czer."
"41",3374,"Ranunculus thora L. (R. tatrae Borbás))"
"42",3434,"Alectoria mirabilis Motyka, 1960"
"43",3671,"Sagina subulata (Sw.) C.Presl"
"44",3830,"Rosa psammophila Chrshan."
"45",3926,"Enteromorpha maeotica Proschk.–Lavr."
"46",3989,"Cosmarium hornavanense var. mirabile Ruzicka"
"47",3990,"Cosmarium hornavanense var. alpinum (Schmidle) Messinkommer"
"48",4137,"Trentepohlia jolithus (L.) Wallr. var. bovina (Flot.) Rabenh."
"49",4139,"Trentepohlia aurea var. tomentosa Kutz."
"50",4147,"Ulothrix zonata var. rigia (Kutzing) Hansgirg"
"51",4148,"Ulothrix zonata var. inaequalis (Kutzing) Rabenhorst"
"52",4150,"Ulothrix moniliformis var. braunii (Kutzing) Hansgirg"
"53",4153,"Usnea motykana Bystrek & Wojciak, 1994"
"54",4155,"Usnea cavernosa subsp. sibirica (Rasanen) Mot."
"55",4346,"Rosa ciesielskii Blocki"
"56",4364,"Asplenium germanicum Weiss"
"57",4460,"Asperula michelsoni V.Krecz."
"58",4469,"Teucrium podolicum"
"59",4506,"Dasya apiculata (C. Agardh) J. Agardh"
"60",4599,"Rosa borysthenica Chrshan."
"61",4622,"Ulva maeotica (Proshk.-Lavr.) P.Tsarenko in Burova & Al."
"62",4626,"Bulbochaete subquadrata Mrozinska"
"63",4627,"Oedogonium plagiostomum Wittr. ex Hirn var. tanaiticum Y.V. Roll"
"64",4629,"Chaetomorpha zernovii Wononich"
"65",4649,"Penium borgeanum Skuja"
"66",4881,"Hericium coralloides (Fr.) Gray"
"67",4948,"Anaptychia mereschkowskii (Tomin) Kulakov"
"68",4962,"Lecania ephedrae Elenk."
"69",4963,"Lecanora elenkinii Mereschk."
"70",4968,"Staurothele epigea Breuss et Etayo"
"71",4988,"Acutodesmus regularis (Svirenko) P.Tsarenko"
"72",4993,"Oedogonium stictospermum (Skuja) Tiffany"
"73",4994,"Oedogonium sodiroanum Lagerh. ex Hirn."
"74",4995,"Endoclonium polymorphum Franke"
"75",4996,"Cosmarium cyaneilacustre Lilitsk."
"76",4997,"Cosmarium reticulatum Lilitsk."
"77",5001,"Spirogyra borysthenica var. ehinospora Kazan. et Smirn."
"78",5002,"Spirogyra maxima f. woronichinia Poljansk."
"79",5003,"Spirogyra pseudowoodsii V.Poljansk."
"80",5004,"Spirogyra pseudogranulata Ley"
"81",5006,"Scenedesmus polessicus P.Tsarenko"
"82",5008,"Uronema confervicolum var. uncinatum Popova"
"83",5015,"Chara uzbekistanica Hollerb."
"84",5016,"Chlamydomonas plurivacuolatum Wawrick"
"85",5017,"Chlamydomonas ucrainica Demchenko, A. Massalski, Kostikov & L. Hoffm."
"86",5033,"Melaspilea oxneri Makar."
"87",5237,"Alburnus vulturius (Costa, 1838)"
"88",5488,"Hyacinthoides vicentina (Hoffmanns. & Link) Rothm."
"89",5761,"Teucrium salviastrum subsp. salviastrum Schreber"
"90",5771,"Scrophularia grandiflora subsp. grandiflora DC."
"91",5772,"Scrophularia berminii Hoffmanns & Link"
