"","ID","verbatimScientificName"
"1",149,"Euidosomus acuminatus (Boheman, 1840)"
"2",208,"Lymnaea clavata Westerlund, 1885"
"3",209,"Lymnaea pachyta Westerlund, 1890"
"4",250,"Trochulus bielzi (Bielz, 1860)"
"5",283,"Batavusiana irenjensis (Kobelt, 1912)"
"6",285,"Paraelona majewsky (Frauenfeld, 1862)"
"7",288,"Neopisidium moitesserianum (Paladilhe, 1866)"
"8",289,"Galactella lactea (Linnaeus, 1758)"
"9",290,"Hypanis laeviuscula (Eichwald, 1829)"
"10",355,"Potamon tauricum Czernyavsky,1884"
"11",379,"Syrioiulus kovali (Golovatch, 2008)"
"12",466,"Chrysochares asiaticus (Pallas, 1771)"
"13",470,"Polyommatus anteros Freyer, 1839"
"14",472,"Chelis maculosa mannerheimi (Duponchel, 1836)"
"15",489,"Evylaeus corvinus (Morawitz, 1876)"
"16",606,"Agabus kessleri Hochhuth, 1871"
"17",687,"Ropalopus hungaricus (Fabricius, 1775)"
"18",703,"Alaus parreyssi (Steven, 1830)"
"19",792,"Glaphyrus vulpes (Fabricius, 1781)"
"20",968,"Gonospileia triquetra (Denis & Schiffermuller, 1775)"
"21",1092,"Neopristilophus depressus (Coermar, 1822)"
"22",1093,"Cecchiniola platyscelidina (Jacobson, 1908)"
"23",1163,"Eudia spini (Denis & Schiffermuller, 1775)"
"24",1221,"Pelatea verucha Nedoshivina & Zolotuhin, 2005"
"25",1228,"Xiphydria markewitshi Ermolenko, 1960"
"26",1268,"Campsoscolia klugii (Vander Linden, 1827)"
"27",1299,"Seladonia semitecta (Morawitz, 1873)"
"28",1300,"Evylaeus laevis (Kirby, 1802)"
"29",1301,"Evylaeus quadrisignatus (Schenck, 1853)"
"30",1372,"Macropis wancowiczi"
"31",1481,"Chondrostoma nasus subsp. borysthenicum Berg, 1914"
"32",1492,"Vimba tenella (Nordmann, 1840)"
"33",2044,"Spermophilus odessanus Nordmann, 1840"
"34",2059,"Sicista cimlanica (Kovalskaya et al., 2000)"
"35",2067,"Nothocricetulus migratorius (Pallas, 1773)"
"36",2390,"Stipa donetzica Czupryna"
"37",2410,"Cladophora sivashensis C.Meyer"
"38",2492,"Galium dubovikiae Ostapko"
"39",2873,"Atocion hypanicum (Klokov) Tzvelev"
"40",2928,"Astragalus excapus L."
"41",3161,"Dasyopsis apiculata (C. Agardh) Zinova"
"42",3297,"Phlomoides scythica (Klokov & Des.-Shost.) Czer."
"43",3375,"Ranunculus thora L. (R. tatrae Borbás))"
"44",3435,"Alectoria mirabilis Motyka, 1960"
"45",3612,"Helianthemum grandiflorum subsp. glaucescens (Murb.) Holub"
"46",3674,"Scabiosa lucida subsp. barbata Nyar"
"47",3928,"Enteromorpha maeotica Proschk.–Lavr."
"48",3991,"Cosmarium hornavanense var. mirabile Ruzicka"
"49",3992,"Cosmarium hornavanense var. alpinum (Schmidle) Messinkommer"
"50",4079,"Raphidiastrum monticulosum (Breb.) Pal.-Mordv."
"51",4139,"Trentepohlia jolithus (L.) Wallr. var. bovina (Flot.) Rabenh."
"52",4141,"Trentepohlia aurea var. tomentosa Kutz."
"53",4149,"Ulothrix zonata var. rigia (Kutzing) Hansgirg"
"54",4150,"Ulothrix zonata var. inaequalis (Kutzing) Rabenhorst"
"55",4152,"Ulothrix moniliformis var. braunii (Kutzing) Hansgirg"
"56",4155,"Usnea motykana Bystrek & Wojciak, 1994"
"57",4157,"Usnea cavernosa subsp. sibirica (Rasanen) Mot."
"58",4462,"Asperula michelsoni V.Krecz."
"59",4471,"Teucrium podolicum"
"60",4508,"Dasya apiculata (C. Agardh) J. Agardh"
"61",4624,"Ulva maeotica (Proshk.-Lavr.) P.Tsarenko in Burova & Al."
"62",4628,"Bulbochaete subquadrata Mrozinska"
"63",4629,"Oedogonium plagiostomum Wittr. ex Hirn var. tanaiticum Y.V. Roll"
"64",4631,"Chaetomorpha zernovii Wononich"
"65",4651,"Penium borgeanum Skuja"
"66",4697,"Lazarenkia kozlovii (Laz.) Boiko"
"67",4883,"Hericium coralloides (Fr.) Gray"
"68",4950,"Anaptychia mereschkowskii (Tomin) Kulakov"
"69",4964,"Lecania ephedrae Elenk."
"70",4965,"Lecanora elenkinii Mereschk."
"71",4970,"Staurothele epigea Breuss et Etayo"
"72",4990,"Acutodesmus regularis (Svirenko) P.Tsarenko"
"73",4995,"Oedogonium stictospermum (Skuja) Tiffany"
"74",4996,"Oedogonium sodiroanum Lagerh. ex Hirn."
"75",4997,"Endoclonium polymorphum Franke"
"76",4998,"Cosmarium cyaneilacustre Lilitsk."
"77",4999,"Cosmarium reticulatum Lilitsk."
"78",5003,"Spirogyra borysthenica var. ehinospora Kazan. et Smirn."
"79",5004,"Spirogyra maxima f. woronichinia Poljansk."
"80",5005,"Spirogyra pseudowoodsii V.Poljansk."
"81",5006,"Spirogyra pseudogranulata Ley"
"82",5008,"Scenedesmus polessicus P.Tsarenko"
"83",5010,"Uronema confervicolum var. uncinatum Popova"
"84",5017,"Chara uzbekistanica Hollerb."
"85",5018,"Chlamydomonas plurivacuolatum Wawrick"
"86",5019,"Chlamydomonas ucrainica Demchenko, A. Massalski, Kostikov & L. Hoffm."
"87",5035,"Melaspilea oxneri Makar."
