"","ID","kingdom","phylum","class","nameUk","BernAppendix2","BernAppendix3","Bonn","AEWA","IUCN","BernResolution6","ЧКУ","BernAppendix1","CITES","EUROBATS","ACCOBAMS","BirdsDirective","HabitatsDirective","Invasive","ЧС_Полтавська","ЧС_Чернівецька","ЧС_Житомирська","ЧС_Вінницька","ЧС_Харківська","ЧС_Чернігівська","ЧС_Черкаська","ЧС_Івано_Франківська","ЧС_Рівненська","ЧС_Одеська","ЧС_Сумська","ЧС_Закарпатська","ЧС_Львівська","ЧС_Миколаївська","ЧС_Донецька","ЧС_Херсонська","ЧС_Севастополь","ЧС_Тернопільська","ЧС_Київ","ЧС_Волинська","ЧС_Хмельницька","ЧС_Запорізька","ЧС_Кіровоградська","ЧС_Луганська","ЧС_Київська","ЧС_Дніпропетровська"
"1",1,"Animalia","Chordata","Reptilia","Черепаха болотяна","yes","","","",NA,"yes","","","","","",NA,NA,"","","yes","es","","yes","","","","","","yes","","yes","yes","yes","","","","yes","yes","yes","","","","","yes"
"2",2,"Animalia","Chordata","Reptilia","Черепаха червоновуха","","","","",NA,"","","","","","",NA,NA,"yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3",3,"Animalia","Chordata","Reptilia","Вуж водяний","yes","","","",NA,"","","","","","",NA,NA,"","yes","","yes","","yes","","","","","","","","","","","","","","","","yes","","yes","","",""
"4",4,"Animalia","Chordata","Reptilia","Вуж звичайний","","yes","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","yes","","","","","","","","","","","",""
"5",5,"Animalia","Chordata","Reptilia","Вуж персидський","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"6",6,"Animalia","Chordata","Reptilia","Полоз візерунковий","","yes","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"7",7,"Animalia","Chordata","Reptilia","Полоз сарматський","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"8",8,"Animalia","Chordata","Reptilia","Полоз каспійський","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"9",9,"Animalia","Chordata","Reptilia","Ескулапів полоз","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"10",10,"Animalia","Chordata","Reptilia","Леопардовий полоз","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11",11,"Animalia","Chordata","Reptilia","Мідянка звичайна","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"12",12,"Animalia","Chordata","Reptilia","Гадюка звичайна","","yes","","",NA,"","","","","","",NA,NA,"","yes","","","","","","","","","","yes","","","","","","","","yes","","","","","","","yes"
"13",13,"Animalia","Chordata","Reptilia","Гадюка степова","yes","","","",NA,"yes","вразливий","","I","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"14",14,"Animalia","Chordata","Reptilia","Веретільниця ламка","","yes","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15",15,"Animalia","Chordata","Reptilia","Веретільниця колхідська","","yes","","",NA,"","","","","","",NA,NA,"","yes","","","","","","","","","","","","","","yes","","","","","","yes","","yes","","",""
"16",16,"Animalia","Chordata","Reptilia","Жовтопуз безногий","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17",17,"Animalia","Chordata","Reptilia","Ящірка живородна","","yes","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","","yes"
"18",18,"Animalia","Chordata","Reptilia","Ящірка прудка","yes","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","yes","","","","","","","","","","","",""
"19",19,"Animalia","Chordata","Reptilia","Ящірка зелена","yes","","","",NA,"","вразливий","","","","",NA,NA,"","yes","yes","","","","","","","","yes","","","","","","","","","yes","","","","","","","yes"
"20",20,"Animalia","Chordata","Reptilia","Ящірка стінна","","","","",NA,"","","","","","",NA,NA,"yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21",21,"Animalia","Chordata","Reptilia","Ящірка кримська","yes","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","yes","","","","yes","","yes","","","","","","","","","",""
"22",22,"Animalia","Chordata","Reptilia","Ящурка різнобарвна","","yes","","",NA,"","","","","","",NA,NA,"","yes","","","","yes","","","","","yes","","","","yes","","","","","","","","","","","","yes"
"23",23,"Animalia","Chordata","Reptilia","Ящірка Ліндгольма","","yes","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24",24,"Animalia","Chordata","Reptilia","Ящірка Даля","","","","",NA,"","","","","","",NA,NA,"yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25",25,"Animalia","Chordata","Reptilia","Ящірка вірменська","","","","",NA,"","","","","","",NA,NA,"yes","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
