,ID,verbatimScientificName,,,,,,,nameStringConcatenated
1,149,"Euidosomus acuminatus (Boheman, 1840)",Euidosomus acuminatus,"Euidosomus acuminatus (Boheman, 1839)","Eusomus acuminatus Boheman, 1840","Eusomostrophus acuminatus (Boheman, 1840)",,,"Euidosomus acuminatus (Boheman, 1840);Euidosomus acuminatus;Euidosomus acuminatus (Boheman, 1839);Eusomus acuminatus Boheman, 1840;Eusomostrophus acuminatus (Boheman, 1840)"
2,208,"Lymnaea clavata Westerlund, 1885",Lymnaea clavata,,,,,,"Lymnaea clavata Westerlund, 1885;Lymnaea clavata"
3,209,"Lymnaea pachyta Westerlund, 1890",Lymnaea pachyta,,,,,,"Lymnaea pachyta Westerlund, 1890;Lymnaea pachyta"
4,250,"Trochulus bielzi (Bielz, 1860)",Trochulus bielzi,,,,,,"Trochulus bielzi (Bielz, 1860);Trochulus bielzi"
5,283,"Batavusiana irenjensis (Kobelt, 1912)",Batavusiana irenjensis,,,,,,"Batavusiana irenjensis (Kobelt, 1912);Batavusiana irenjensis"
6,285,"Paraelona majewsky (Frauenfeld, 1862)",Paraelona majewsky,,,,,,"Paraelona majewsky (Frauenfeld, 1862);Paraelona majewsky"
7,288,"Neopisidium moitesserianum (Paladilhe, 1866)",Neopisidium moitesserianum,"Neopisidium moitesserianum Paladilhe, 1866","Pisidium moitessierianum Paladihe, 1866",,,,"Neopisidium moitesserianum (Paladilhe, 1866);Neopisidium moitesserianum;Neopisidium moitesserianum Paladilhe, 1866;Pisidium moitessierianum Paladihe, 1866"
8,289,"Galactella lactea (Linnaeus, 1758)",Galactella lactea,"Striarca lactea (Linnaeus, 1758)",,,,,"Galactella lactea (Linnaeus, 1758);Galactella lactea;Striarca lactea (Linnaeus, 1758)"
9,290,"Hypanis laeviuscula (Eichwald, 1829)",Hypanis laeviuscula,,,,,,"Hypanis laeviuscula (Eichwald, 1829);Hypanis laeviuscula"
10,355,"Potamon tauricum Czernyavsky,1884",Potamon tauricum,,,,,,"Potamon tauricum Czernyavsky,1884;Potamon tauricum"
11,379,"Syrioiulus kovali (Golovatch, 2008)",Syrioiulus kovali,,,,,,"Syrioiulus kovali (Golovatch, 2008);Syrioiulus kovali"
