occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,"Emys orbicularis (Linnaeus, 1758)","Emys orbicularis (Linnaeus, 1758)",8909809,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Testudines,,Emydidae,Emys,Emys orbicularis,Emys orbicularis,"(Linnaeus, 1758) "
,"Trachemys scripta (Thunberg In Schoepff, 1792)","Trachemys scripta (Thunberg In Schoepff, 1792)",2443002,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Testudines,,Emydidae,Trachemys,Trachemys scripta,Trachemys scripta,"(Thunberg In Schoepff, 1792) "
,"Natrix tessellata (Laurenti, 1768)","Natrix tessellata (Laurenti, 1768)",6161327,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Natrix,Natrix tessellata,Natrix tessellata,"(Laurenti, 1768) "
,"Natrix natrix (Linnaeus, 1758)","Natrix natrix (Linnaeus, 1758)",6161347,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Natrix,Natrix natrix,Natrix natrix,"(Linnaeus, 1758) "
,"Natrix natrix subsp. persa (Pallas, 1814)","Natrix natrix persa (Pallas, 1814)",6161357,EXACT,100,ACCEPTED,SUBSPECIES,Animalia,Chordata,Squamata,,Colubridae,Natrix,Natrix natrix,Natrix natrix persa,"(Pallas, 1814) "
,"Elaphe dione (Pallas, 1773)","Elaphe dione (Pallas, 1773)",2458400,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Elaphe,Elaphe dione,Elaphe dione,"(Pallas, 1773) "
,"Elaphe sauromates (Pallas, 1811)","Elaphe sauromates (Pallas, 1811)",2458386,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Elaphe,Elaphe sauromates,Elaphe sauromates,"(Pallas, 1811) "
,"Dolichophis caspius (Gmelin, 1789)","Dolichophis caspius (Gmelin, 1789)",2457224,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Dolichophis,Dolichophis caspius,Dolichophis caspius,"(Gmelin, 1789) "
,"Zamenis longissimus (Laurenti, 1768)","Zamenis longissimus (Laurenti, 1768)",2458538,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Zamenis,Zamenis longissimus,Zamenis longissimus,"(Laurenti, 1768) "
,"Zamenis situla (Linnaeus, 1758)","Zamenis situla (Linnaeus, 1758)",2458374,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Zamenis,Zamenis situla,Zamenis situla,"(Linnaeus, 1758) "
,"Coronella austriaca Laurenti, 1768","Coronella austriaca Laurenti, 1768",5959617,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Coronella,Coronella austriaca,Coronella austriaca,"Laurenti, 1768"
,"Vipera berus (Linnaeus, 1758)","Vipera berus (Linnaeus, 1758)",5960862,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Viperidae,Vipera,Vipera berus,Vipera berus,"(Linnaeus, 1758) "
,"Vipera renardi (Christoph, 1861)","Vipera renardi (Christoph, 1861)",8568628,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Viperidae,Vipera,Vipera renardi,Vipera renardi,"(Christoph, 1861) "
,"Anguis fragilis Linnaeus, 1758","Anguis fragilis Linnaeus, 1758",2468095,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Anguis,Anguis fragilis,Anguis fragilis,"Linnaeus, 1758"
,"Anguis colchica (Nordmann, 1840)","Anguis colchica (Nordmann, 1840)",8356845,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Anguis,Anguis colchica,Anguis colchica,"(Nordmann, 1840) "
,"Pseudopus apodus (Pallas, 1775)","Pseudopus apodus (Pallas, 1775)",2468350,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Pseudopus,Pseudopus apodus,Pseudopus apodus,"(Pallas, 1775) "
,"Zootoca vivipara (Lichtenstein, 1823)","Zootoca vivipara (Lichtenstein, 1823)",9702100,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Zootoca,Zootoca vivipara,Zootoca vivipara,"(Lichtenstein, 1823) "
,"Lacerta agilis Linnaeus, 1758","Lacerta agilis Linnaeus, 1758",6159223,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Lacerta,Lacerta agilis,Lacerta agilis,"Linnaeus, 1758"
,"Lacerta viridis (Laurenti, 1768)","Lacerta viridis (Laurenti, 1768)",6159273,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Lacerta,Lacerta viridis,Lacerta viridis,"(Laurenti, 1768) "
,"Podarcis muralis (Laurenti, 1768)","Podarcis muralis (Laurenti, 1768)",2469188,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Podarcis,Podarcis muralis,Podarcis muralis,"(Laurenti, 1768) "
,"Podarcis tauricus (Pallas, 1814)","Podarcis tauricus (Pallas, 1814)",2469065,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Podarcis,Podarcis tauricus,Podarcis tauricus,"(Pallas, 1814) "
,"Eremias arguta (Pallas, 1773)","Eremias arguta (Pallas, 1773)",2468945,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Eremias,Eremias arguta,Eremias arguta,"(Pallas, 1773) "
,"Darevskia lindholmi (Szczerbak, 1962)","Darevskia lindholmi (Szczerbak, 1962)",2468845,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Darevskia,Darevskia lindholmi,Darevskia lindholmi,"(Szczerbak, 1962) "
,"Darevskia dahli (Darevsky, 1957)","Darevskia dahli (Darevsky, 1957)",2468869,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Darevskia,Darevskia dahli,Darevskia dahli,"(Darevsky, 1957) "
,"Darevskia armeniaca (Mehely, 1909)","Darevskia armeniaca (Méhely, 1909)",2468847,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Darevskia,Darevskia armeniaca,Darevskia armeniaca,"(Méhely, 1909) "
,"Mediodactylus kotschyi (Steindachner, 1870)","Mediodactylus kotschyi (Steindachner, 1870)",2447858,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Gekkonidae,Mediodactylus,Mediodactylus kotschyi,Mediodactylus kotschyi,"(Steindachner, 1870) "
,"Pelophylax ridibundus (Pallas, 1771)","Pelophylax ridibundus (Pallas, 1771)",2426661,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax ridibundus,Pelophylax ridibundus,"(Pallas, 1771) "
,"Pelophylax lessonae (Camerano, 1882)","Pelophylax lessonae (Camerano, 1882)",2426654,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax lessonae,Pelophylax lessonae,"(Camerano, 1882) "
,"Pelophylax esculentus (Linnaeus, 1758)","Pelophylax esculentus (Linnaeus, 1758)",5784980,EXACT,100,SYNONYM,SPECIES,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax lessonae,Pelophylax esculentus,"(Linnaeus, 1758) "
,"Rana temporaria Linnaeus, 1758","Rana temporaria Linnaeus, 1758",2426805,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana temporaria,Rana temporaria,"Linnaeus, 1758"
